Data,Add,Del,Mod,Fix
2012/12/1,12,3,7,6
2013/1/1,6,1,0,7
2013/2/1,33,13,9,47
2013/3/1,36,18,13,72
2013/4/1,39,8,31,29
2013/5/1,0,0,2,0
